outcome_name,audit_enabled,definition_status,source_kind,source_phenotype,index_date,horizon_years,washout_years,event_definition,existing_outcome_exclusion,censoring_rule,competing_event_rule,token_rule,clinical_comparator_status,notes
depression_or_mood_disorder,1,resolved,condition_group,depression_or_mood_disorder,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
diabetes,1,resolved,condition_group,diabetes,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,task20_marker_features_ready,HbA1c and glucose features already available; candidate not preselected
dyslipidemia,1,resolved,condition_group,dyslipidemia,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
epilepsy,1,resolved,condition_group,epilepsy,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
fatty_liver,1,resolved,condition_group,fatty_liver,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,task20_marker_features_ready,validated Task19 phenotype
gallbladder_polyp,1,resolved,condition_group,gallbladder_polyp,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,detection-sensitive validated Task19 phenotype
gallstone,1,resolved,condition_group,gallstone,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
gastritis,1,resolved,condition_group,gastritis,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
gastroesophageal_reflux,1,resolved,condition_group,gastroesophageal_reflux,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
hearing_loss,1,resolved,condition_group,hearing_loss,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
hepatocellular_carcinoma,1,resolved,condition_group,hepatocellular_carcinoma,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,task20_marker_features_ready,site-specific cancer candidate
hypertension,1,resolved,condition_group,hypertension,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
intracranial_aneurysm,1,resolved,condition_group,intracranial_aneurysm,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
ischemic_stroke,1,resolved,condition_group,ischemic_stroke,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
lung_cancer,1,resolved,condition_group,lung_cancer,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,site-specific cancer candidate
obesity,1,resolved,condition_group,obesity,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
osteoarthritis,1,resolved,condition_group,osteoarthritis,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
osteoporosis_or_osteopenia,1,resolved,condition_group,osteoporosis_or_osteopenia,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
overactive_bladder,1,resolved,condition_group,overactive_bladder,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
pneumonia,1,resolved,condition_group,pneumonia,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,acute respiratory candidate; not a COPD substitute
retinal_disorder,1,resolved,condition_group,retinal_disorder,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
spinal_stenosis_or_disc,1,resolved,condition_group,spinal_stenosis_or_disc,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
heart_failure,1,definition_required,unresolved,,2018-01-01,5,2,not yet defined,not yet defined,not yet defined,not yet defined,not yet defined,not_configured,do not substitute coronary artery disease; review concept set first
acute_myocardial_infarction,1,definition_required,unresolved,,2018-01-01,5,2,not yet defined,not yet defined,not yet defined,not yet defined,not yet defined,not_configured,do not substitute broad coronary artery disease; review acute MI concept set first
dementia,1,definition_required,unresolved,,2018-01-01,5,2,not yet defined,not yet defined,not yet defined,not yet defined,not yet defined,not_configured,review dementia concept set first
copd,1,definition_required,unresolved,,2018-01-01,5,2,not yet defined,not yet defined,not yet defined,not yet defined,not yet defined,not_configured,do not substitute asthma or pneumonia; review COPD concept set first
broad_cancer,1,definition_required,unresolved,,2018-01-01,5,2,not yet defined,not yet defined,not yet defined,not yet defined,not yet defined,not_configured,use site-specific validated cancer groups unless a broad cancer definition is reviewed
